Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:17:37,2725,2625,3250,594,-7,52
14:17:37,2696,2600,3225,544,-15,52
14:17:38,2700,2650,3225,577,-7,52
14:17:38,2700,2600,3250,380,-7,52
14:17:38,2650,2650,3225,478,-7,52
14:17:39,2725,2600,3225,313,-7,52
14:17:39,2750,2550,3225,261,-7,52
14:17:39,2700,2625,3225,396,-7,52
14:17:39,2725,2650,3250,544,-7,52
14:17:40,2750,2600,3200,261,-6,52
14:17:40,2750,2600,3250,628,-7,52
14:17:40,2750,2625,3250,646,-7,52
14:17:41,2725,2575,3225,478,-6,52
14:17:41,2725,2575,3200,628,-7,52
14:17:41,2700,2600,3225,429,-7,52
14:17:41,2725,2625,3175,330,-7,52
14:17:42,2725,2650,3250,478,-6,52
14:17:42,2675,2625,3200,278,-7,52
14:17:42,2700,2625,3225,544,-7,52
14:17:43,2725,2650,3200,544,-7,52
14:17:43,2750,2625,3274,243,-7,52
14:17:43,2700,2600,3225,243,-7,52
14:17:43,2725,2625,3250,560,-6,52
14:17:44,2750,2650,3250,577,-7,52
14:17:44,2750,2575,3225,296,-7,52
14:17:44,2700,2625,3225,243,-7,52
14:17:45,2750,2650,3275,445,-6,52
14:17:45,2750,2600,3275,296,-7,52
14:17:45,2725,2625,3250,380,-6,52
14:17:45,2700,2600,3225,380,-7,52
14:17:46,2725,2625,3200,243,-7,52
14:17:46,2750,2575,3200,363,-7,52
14:17:46,2750,2625,3200,628,-7,52
14:17:47,2700,2625,3250,628,-7,52
14:17:47,2725,2625,3225,347,-7,52
14:17:47,2725,2625,3250,527,-7,52
14:17:47,2725,2625,3225,594,-7,53
14:17:48,2700,2625,3250,478,-7,53
14:17:48,2750,2625,3250,396,-7,53
14:17:48,2675,2650,3225,494,-7,54
14:17:49,2750,2625,3225,429,-6,54
14:17:49,2725,2600,3250,313,-7,54
14:17:49,2725,2625,3275,380,-7,54
14:17:49,2700,2575,3275,577,-7,54
14:17:50,2750,2625,3200,494,-7,54
14:17:50,2725,2600,3250,313,-7,54
14:17:50,2725,2650,3275,243,-7,54
14:17:50,2700,2625,3225,296,-7,55
14:17:51,2725,2625,3225,313,-7,55
14:17:51,2700,2625,3200,313,-6,55
14:17:51,2700,2600,3250,261,-7,55
14:17:52,2775,2575,3250,380,-7,55
14:17:52,2750,2625,3250,380,-7,55
14:17:52,2725,2650,3175,527,-7,55
14:17:52,2700,2550,3275,261,-7,55
14:17:53,2750,2625,3225,225,-7,55
14:17:53,2700,2625,3225,544,-7,55
14:17:53,2750,2625,3250,511,-7,55
14:17:53,2675,2600,3225,628,-7,55
14:17:54,2700,2625,3250,413,-7,55
14:17:54,2725,2625,3225,577,-7,55
14:17:54,2700,2625,3225,594,-7,55
14:17:55,2750,2625,3225,527,-7,55
14:17:55,2700,2525,3225,577,-7,55
14:17:55,2725,2600,3200,462,-6,55
14:17:55,2700,2575,3200,560,-7,55
14:17:56,2675,2625,3225,544,-7,55
14:17:56,2750,2625,3225,511,-7,55
14:17:56,2700,2600,3250,577,-6,55
14:17:56,2700,2650,3225,261,-7,55
14:17:57,2725,2600,3275,611,-6,55
14:17:57,2700,2625,3275,396,-7,55
14:17:57,2725,2600,3225,594,-7,55
14:17:58,2700,2600,3225,225,-7,55
14:17:58,2700,2625,3225,544,-7,55
14:17:58,2725,2600,3225,560,-7,55
14:17:58,2725,2625,3250,413,-6,55
14:17:59,2725,2650,3250,560,-6,55
14:17:59,2725,2600,3250,611,-6,55
14:17:59,2700,2625,3250,225,-7,55
14:18:00,2725,2625,3250,380,-7,55
14:18:00,2675,2575,3225,396,-7,55
14:18:00,2725,2625,3225,296,-7,55
14:18:00,2675,2575,3250,560,-7,55
14:18:01,2675,2625,3200,544,-7,55
14:18:01,2725,2550,3225,380,-7,55
14:18:01,2725,2625,3200,577,-7,55
14:18:02,2725,2625,3225,544,-7,55
14:18:02,2675,2625,3250,347,-7,55
14:18:02,2700,2625,3225,594,-6,55
14:18:02,2700,2625,3250,225,-7,55
14:18:03,2725,2600,3150,560,-6,55
14:18:03,2750,2625,3250,527,-7,55
14:18:03,2700,2550,3200,330,-6,55
14:18:04,2725,2600,3175,261,-6,55
14:18:04,2700,2575,3200,225,-7,55
14:18:04,2725,2625,3225,296,-7,55
14:18:04,2650,2625,3200,594,-7,55
14:18:05,2700,2625,3225,225,-7,55
14:18:05,2700,2575,3250,413,-7,55
14:18:05,2675,2600,3225,611,-7,55
14:18:05,2700,2625,3225,330,-7,55
14:18:06,2700,2550,3250,611,-7,55
14:18:06,2750,2600,3175,225,-6,55
14:18:06,2750,2650,3250,611,-6,55
14:18:07,2750,2625,3200,243,-7,55
14:18:07,2750,2600,3250,462,-7,55
14:18:07,2675,2625,3250,527,-7,55
14:18:07,2700,2625,3225,261,-7,56
14:18:08,2700,2600,3200,611,-7,56
14:18:08,2750,2575,3225,278,-7,56
14:18:08,2725,2600,3200,225,-7,56
14:18:09,2700,2625,3225,243,-7,56
14:18:09,2700,2575,3200,363,-6,56
14:18:09,2725,2575,3200,462,-6,56
14:18:09,2750,2625,3250,243,-7,56
14:18:10,2675,2575,3200,527,-7,56
14:18:10,2725,2525,3275,577,-7,56
14:18:10,2750,2625,3200,511,-7,56
14:18:10,2725,2625,3250,413,-6,57
14:18:11,2675,2575,3250,478,-7,57
14:18:11,2725,2575,3225,511,-6,57
14:18:11,2725,2600,3200,330,-7,57
14:18:12,2750,2625,3225,261,-7,57
14:18:12,2725,2625,3200,527,-7,57
14:18:12,2675,2600,3225,347,-6,57
14:18:12,2725,2650,3250,396,-6,57
14:18:13,2700,2625,3250,462,-7,57
14:18:13,2700,2625,3225,544,-6,57
14:18:13,2700,2600,3250,594,-7,58
14:18:13,2750,2625,3175,494,-7,58
14:18:14,2725,2575,3225,261,-7,58
14:18:14,2725,2600,3250,278,-7,58
14:18:14,2700,2600,3225,594,-7,58
14:18:15,2750,2575,3200,445,-7,58
14:18:15,2700,2575,3225,225,-7,59
14:18:15,2675,2625,3250,313,-7,59
14:18:15,2700,2600,3250,225,-7,59
14:18:16,2725,2575,3200,243,-6,59
14:18:16,2725,2575,3225,611,-6,59
14:18:16,2675,2625,3175,544,-7,60
14:18:17,2725,2625,3200,207,-7,60
14:18:17,2750,2550,3200,347,-7,60
14:18:17,2750,2625,3225,594,-6,61
14:18:17,2725,2625,3200,527,-7,61
14:18:18,2675,2625,3225,225,-6,61
14:18:18,2650,2625,3225,296,-7,61
14:18:18,2700,2600,3225,207,-7,61
14:18:19,2750,2625,3150,225,-7,61
14:18:19,2700,2600,3200,478,-7,61
14:18:19,2700,2600,3225,560,-7,61
14:18:19,2725,2550,3200,594,-7,61
14:18:20,2725,2575,3175,594,-7,62
14:18:20,2750,2625,3250,313,-7,62
14:18:20,2650,2625,3200,544,-7,62
14:18:21,2675,2625,3200,445,-7,62
14:18:21,2725,2625,3250,225,-7,62
14:18:21,2725,2600,3200,462,-7,62
14:18:21,2725,2575,3225,330,-7,62
14:18:22,2725,2625,3250,511,-7,62
14:18:22,2675,2625,3200,413,-6,62
14:18:22,2700,2575,3200,494,-7,62
14:18:23,2750,2625,3200,225,-6,62
14:18:23,2725,2625,3250,594,-7,62
14:18:23,2650,2625,3250,243,-6,62
14:18:23,2700,2625,3225,577,-7,62
14:18:24,2675,2625,3200,511,-7,62
14:18:24,2700,2600,3250,462,-7,62
14:18:24,2700,2575,3250,594,-6,62
14:18:24,2700,2600,3225,225,-6,62
14:18:25,2675,2600,3250,207,-6,62
14:18:25,2675,2600,3250,207,-6,62
14:18:25,2700,2600,3225,225,-7,62
14:18:26,2700,2600,3225,225,-7,62
